anh,layout,nhan_dung,truoc,sau,truoc_dung_ca_bien,sau_dung_ca_bien,truoc_co_D,sau_co_D
type3_001.jpg,bien_2hang,60MĐ500592,60H00592,60H0059,False,False,False,False
type3_802.jpg,bien_2hang,86MĐ900253,61M900253,86MĐ900253,False,True,False,True
type3_677.jpg,bien_2hang,60MĐ101874,60M0101,60B01025,False,False,False,False
type3_806.jpg,bien_2hang,79MĐ105147,79M105147,79MĐ105147,False,True,False,True
type3_154.jpg,bien_2hang,50TĐ01330,50K101337,59C01337,False,False,False,False
type3_451.jpg,bien_2hang,60MĐ112345,60M112345,60MĐ112345,False,True,False,True
type3_537.jpg,bien_2hang,60MĐ101906,60M101906,60MĐ101906,False,True,False,True
type3_009.jpg,bien_2hang,60MĐ600110,60M600110,60MĐ600110,False,True,False,True
type3_196.jpg,bien_2hang,60MĐ600264,60M260002,56D100229,False,False,False,False
type3_514.jpg,bien_2hang,60MĐ101038,60HM101038,60MĐ101038,False,True,False,True
type3_349.jpg,bien_2hang,60MĐ550058,60HM50058,60MĐ50058,False,False,False,True
type3_807.jpg,bien_2hang,79MĐ301267,9HM01267,5MB201267,False,False,False,False
type3_546.jpg,bien_2hang,60MĐ101870,60D1870,60MĐ01870,False,False,False,True
type3_478.jpg,bien_2hang,29MĐ148487,39D148487,9MĐ148487,False,False,False,True
type3_515.jpg,bien_2hang,60MĐ101924,60M101924,60MĐ101924,False,True,False,True
type3_150.jpg,bien_1hang,50TĐ02415,50T02415,50TĐ02415,False,True,False,True
type3_066.jpg,bien_1hang,50TĐ03026,50T03026,50TD03026,False,False,False,False
